,user_review,pengalaman visual,fungsi,performa dan stabilitas,case_fold,remove_punctuation,remove_whitespace,stopword_removal,normalize,tokenize
0,Crash terus. Ngga bisa didengerin sambil buka aplikasi lain. Ngga se-smooth Spotify. Jadi harus buka ulang aplikasinya.,0,-1,-1,crash terus. ngga bisa didengerin sambil buka aplikasi lain. ngga se-smooth spotify. jadi harus buka ulang aplikasinya.,crash terus ngga bisa didengerin sambil buka aplikasi lain ngga sesmooth spotify jadi harus buka ulang aplikasinya,crash terus ngga bisa didengerin sambil buka aplikasi lain ngga sesmooth spotify jadi harus buka ulang aplikasinya,crash ngga didengerin buka aplikasi ngga sesmooth spotify buka ulang aplikasinya,crash enggak didengerin buka aplikasi enggak sesmooth spotify buka ulang aplikasinya,"['crash', 'enggak', 'didengerin', 'buka', 'aplikasi', 'enggak', 'sesmooth', 'spotify', 'buka', 'ulang', 'aplikasinya']"
1,Kok loading nya lama yaa sampe Berjam jam di tunggu nga bisa padahal jaringannya bagus.,0,0,-1,kok loading nya lama yaa sampe berjam jam di tunggu nga bisa padahal jaringannya bagus.,kok loading nya lama yaa sampe berjam jam di tunggu nga bisa padahal jaringannya bagus,kok loading nya lama yaa sampe berjam jam di tunggu nga bisa padahal jaringannya bagus,loading nya yaa sampe berjam jam tunggu nga jaringannya bagus,loading nya ya sampai berjam jam tunggu enggak jaringannya bagus,"['loading', 'nya', 'ya', 'sampai', 'berjam', 'jam', 'tunggu', 'enggak', 'jaringannya', 'bagus']"
2,"Sering tiba2 mati sendiri, diputar lagi ngulang lagi dari awal",0,-1,-1,"sering tiba2 mati sendiri, diputar lagi ngulang lagi dari awal",sering tiba2 mati sendiri diputar lagi ngulang lagi dari awal,sering tiba2 mati sendiri diputar lagi ngulang lagi dari awal,tiba2 mati diputar ngulang,tiba-tiba mati diputar ngulang,"['tiba-tiba', 'mati', 'diputar', 'ngulang']"
3,"playing downloadnya ngebug mulu, play di playlistnya kadang ga work atau ga sesuai urutan",0,-1,-1,"playing downloadnya ngebug mulu, play di playlistnya kadang ga work atau ga sesuai urutan",playing downloadnya ngebug mulu play di playlistnya kadang ga work atau ga sesuai urutan,playing downloadnya ngebug mulu play di playlistnya kadang ga work atau ga sesuai urutan,playing downloadnya ngebug mulu play playlistnya kadang ga work ga sesuai urutan,playing downloadnya ngebug mulu play playlistnya kadang enggak work enggak sesuai urutan,"['playing', 'downloadnya', 'ngebug', 'mulu', 'play', 'playlistnya', 'kadang', 'enggak', 'work', 'enggak', 'sesuai', 'urutan']"
4,Eror audio podcast ga bisa di putar di device Samsung di realme bisa,0,-1,-1,eror audio podcast ga bisa di putar di device samsung di realme bisa,eror audio podcast ga bisa di putar di device samsung di realme bisa,eror audio podcast ga bisa di putar di device samsung di realme bisa,eror audio podcast ga putar device samsung realme,eror audio podcast enggak putar device samsung realme,"['eror', 'audio', 'podcast', 'enggak', 'putar', 'device', 'samsung', 'realme']"
5,Apliaksi keren bisa dengerin radio tanpa hendset pokonya the best noice,0,1,0,apliaksi keren bisa dengerin radio tanpa hendset pokonya the best noice,apliaksi keren bisa dengerin radio tanpa hendset pokonya the best noice,apliaksi keren bisa dengerin radio tanpa hendset pokonya the best noice,apliaksi keren dengerin radio hendset pokonya the best noice,apliaksi keren dengarkan radio hendset pokoknya the best noice,"['apliaksi', 'keren', 'dengarkan', 'radio', 'hendset', 'pokoknya', 'the', 'best', 'noice']"
6,bagus banget apalagi dengerin horor sambil perjalanan pulang,0,0,0,bagus banget apalagi dengerin horor sambil perjalanan pulang,bagus banget apalagi dengerin horor sambil perjalanan pulang,bagus banget apalagi dengerin horor sambil perjalanan pulang,bagus banget dengerin horor perjalanan pulang,bagus banget dengarkan horor perjalanan pulang,"['bagus', 'banget', 'dengarkan', 'horor', 'perjalanan', 'pulang']"
7,"Akhirnya menemukan cs noice yang sigap dan membantu saya dalam menjawab pertanyaan, good job noice",0,0,0,"akhirnya menemukan cs noice yang sigap dan membantu saya dalam menjawab pertanyaan, good job noice",akhirnya menemukan cs noice yang sigap dan membantu saya dalam menjawab pertanyaan good job noice,akhirnya menemukan cs noice yang sigap dan membantu saya dalam menjawab pertanyaan good job noice,menemukan cs noice sigap membantu good job noice,menemukan cs noice sigap membantu good job noice,"['menemukan', 'cs', 'noice', 'sigap', 'membantu', 'good', 'job', 'noice']"
8,gabisa diputar mau pake wifi atau data sekalipun ini podcast kenapa ya?,0,-1,0,gabisa diputar mau pake wifi atau data sekalipun ini podcast kenapa ya?,gabisa diputar mau pake wifi atau data sekalipun ini podcast kenapa ya,gabisa diputar mau pake wifi atau data sekalipun ini podcast kenapa ya,gabisa diputar pake wifi data podcast ya,enggak bisa diputar pakai wifi data podcast ya,"['enggak', 'bisa', 'diputar', 'pakai', 'wifi', 'data', 'podcast', 'ya']"
9,Ehh sumpah deh Ni apk bagus banget buat dengerin podcast horor gitu,0,0,0,ehh sumpah deh ni apk bagus banget buat dengerin podcast horor gitu,ehh sumpah deh ni apk bagus banget buat dengerin podcast horor gitu,ehh sumpah deh ni apk bagus banget buat dengerin podcast horor gitu,ehh sumpah deh ni apk bagus banget dengerin podcast horor gitu,eh sumpah deh ini aplikasi bagus banget dengarkan podcast horor begitu,"['eh', 'sumpah', 'deh', 'ini', 'aplikasi', 'bagus', 'banget', 'dengarkan', 'podcast', 'horor', 'begitu']"
10,noice kepada aku liat podcast tiba-tiba ganti ke podcast yang lain,0,0,0,noice kepada aku liat podcast tiba-tiba ganti ke podcast yang lain,noice kepada aku liat podcast tibatiba ganti ke podcast yang lain,noice kepada aku liat podcast tibatiba ganti ke podcast yang lain,noice liat podcast tibatiba ganti podcast,noice lihat podcast tibatiba ganti podcast,"['noice', 'lihat', 'podcast', 'tibatiba', 'ganti', 'podcast']"
11,Kok aplikasi ini gk bisa live ya kok tulisan ada yang salah maksudnya gimana ya?,0,0,0,kok aplikasi ini gk bisa live ya kok tulisan ada yang salah maksudnya gimana ya?,kok aplikasi ini gk bisa live ya kok tulisan ada yang salah maksudnya gimana ya,kok aplikasi ini gk bisa live ya kok tulisan ada yang salah maksudnya gimana ya,aplikasi gk live ya tulisan salah maksudnya gimana ya,aplikasi enggak live ya tulisan salah maksudnya bagaimana ya,"['aplikasi', 'enggak', 'live', 'ya', 'tulisan', 'salah', 'maksudnya', 'bagaimana', 'ya']"
12,"Gua udah lumayan lama denger podcast di aplikasi ini aplikasinya bagus lah, cuman kadang-kadang suka ada bug atau apa kadang podcast yang udah di download suka hilang semua padahal udah download banyak,tolong dong di perbaiki soalnya suka bikin kesel ngedownload podcast biar pas gaada kuota bisa dengerin eh gak bisa di play jadi tolong di perbaiki",0,0,-1,"gua udah lumayan lama denger podcast di aplikasi ini aplikasinya bagus lah, cuman kadang-kadang suka ada bug atau apa kadang podcast yang udah di download suka hilang semua padahal udah download banyak,tolong dong di perbaiki soalnya suka bikin kesel ngedownload podcast biar pas gaada kuota bisa dengerin eh gak bisa di play jadi tolong di perbaiki",gua udah lumayan lama denger podcast di aplikasi ini aplikasinya bagus lah cuman kadangkadang suka ada bug atau apa kadang podcast yang udah di download suka hilang semua padahal udah download banyaktolong dong di perbaiki soalnya suka bikin kesel ngedownload podcast biar pas gaada kuota bisa dengerin eh gak bisa di play jadi tolong di perbaiki,gua udah lumayan lama denger podcast di aplikasi ini aplikasinya bagus lah cuman kadangkadang suka ada bug atau apa kadang podcast yang udah di download suka hilang semua padahal udah download banyaktolong dong di perbaiki soalnya suka bikin kesel ngedownload podcast biar pas gaada kuota bisa dengerin eh gak bisa di play jadi tolong di perbaiki,gua udah lumayan denger podcast aplikasi aplikasinya bagus cuman kadangkadang suka bug kadang podcast udah download suka hilang udah download banyaktolong perbaiki suka bikin kesel ngedownload podcast biar pas gaada kuota dengerin eh gak play tolong perbaiki,gua sudah lumayan dengar podcast aplikasi aplikasinya bagus cuman kadangkadang suka bug kadang podcast sudah download suka hilang sudah download banyaktolong perbaiki suka bikin kesel ngedownload podcast biar pas enggak ada kuota dengarkan eh enggak play tolong perbaiki,"['gua', 'sudah', 'lumayan', 'dengar', 'podcast', 'aplikasi', 'aplikasinya', 'bagus', 'cuman', 'kadangkadang', 'suka', 'bug', 'kadang', 'podcast', 'sudah', 'download', 'suka', 'hilang', 'sudah', 'download', 'banyaktolong', 'perbaiki', 'suka', 'bikin', 'kesel', 'ngedownload', 'podcast', 'biar', 'pas', 'enggak', 'ada', 'kuota', 'dengarkan', 'eh', 'enggak', 'play', 'tolong', 'perbaiki']"
13,"so far so good,tpi tolong dong yg playlist dari Abang"" stand up comedy panjangin kontraknya kayak pandeka, podcast kena mental terus yg lain"" soalnya sekarang pada politik semua dah ga seru!!!",0,0,0,"so far so good,tpi tolong dong yg playlist dari abang"" stand up comedy panjangin kontraknya kayak pandeka, podcast kena mental terus yg lain"" soalnya sekarang pada politik semua dah ga seru!!!",so far so goodtpi tolong dong yg playlist dari abang stand up comedy panjangin kontraknya kayak pandeka podcast kena mental terus yg lain soalnya sekarang pada politik semua dah ga seru,so far so goodtpi tolong dong yg playlist dari abang stand up comedy panjangin kontraknya kayak pandeka podcast kena mental terus yg lain soalnya sekarang pada politik semua dah ga seru,so far so goodtpi tolong yg playlist abang stand up comedy panjangin kontraknya kayak pandeka podcast kena mental yg politik dah ga seru,so far so goodtpi tolong yang playlist abang stand up comedy panjangin kontraknya kayak pandeka podcast kena mental yang politik deh enggak seru,"['so', 'far', 'so', 'goodtpi', 'tolong', 'yang', 'playlist', 'abang', 'stand', 'up', 'comedy', 'panjangin', 'kontraknya', 'kayak', 'pandeka', 'podcast', 'kena', 'mental', 'yang', 'politik', 'deh', 'enggak', 'seru']"
14,"Sdh ngk seru lagi, klu dulu masih seru",0,0,0,"sdh ngk seru lagi, klu dulu masih seru",sdh ngk seru lagi klu dulu masih seru,sdh ngk seru lagi klu dulu masih seru,sdh ngk seru klu seru,sudah enggak seru kalau seru,"['sudah', 'enggak', 'seru', 'kalau', 'seru']"
