user_review,pengalaman visual,fungsi,performa dan stabilitas
Crash terus. Ngga bisa didengerin sambil buka aplikasi lain. Ngga se-smooth Spotify. Jadi harus buka ulang aplikasinya.,netral,negatif,negatif
Kok loading nya lama yaa sampe Berjam jam di tunggu nga bisa padahal jaringannya bagus.,netral,netral,negatif
"Sering tiba2 mati sendiri, diputar lagi ngulang lagi dari awal",netral,negatif,negatif
"playing downloadnya ngebug mulu, play di playlistnya kadang ga work atau ga sesuai urutan",netral,negatif,negatif
Eror audio podcast ga bisa di putar di device Samsung di realme bisa,netral,negatif,negatif
Apliaksi keren bisa dengerin radio tanpa hendset pokonya the best noice,netral,positif,netral
bagus banget apalagi dengerin horor sambil perjalanan pulang,netral,netral,netral
"Akhirnya menemukan cs noice yang sigap dan membantu saya dalam menjawab pertanyaan, good job noice",netral,netral,netral
gabisa diputar mau pake wifi atau data sekalipun ini podcast kenapa ya?,netral,negatif,netral
Ehh sumpah deh Ni apk bagus banget buat dengerin podcast horor gitu,netral,netral,netral
noice kepada aku liat podcast tiba-tiba ganti ke podcast yang lain,netral,netral,netral
Kok aplikasi ini gk bisa live ya kok tulisan ada yang salah maksudnya gimana ya?,netral,netral,netral
"Gua udah lumayan lama denger podcast di aplikasi ini aplikasinya bagus lah, cuman kadang-kadang suka ada bug atau apa kadang podcast yang udah di download suka hilang semua padahal udah download banyak,tolong dong di perbaiki soalnya suka bikin kesel ngedownload podcast biar pas gaada kuota bisa dengerin eh gak bisa di play jadi tolong di perbaiki",netral,netral,negatif
"so far so good,tpi tolong dong yg playlist dari Abang"" stand up comedy panjangin kontraknya kayak pandeka, podcast kena mental terus yg lain"" soalnya sekarang pada politik semua dah ga seru!!!",netral,netral,netral
"Sdh ngk seru lagi, klu dulu masih seru",netral,netral,netral
baik senang dgn dakwah islamyah,netral,netral,netral
Kecewa Hiduplah Indonesia Maya harus beli lagi walau sudah langganan noice premium,netral,netral,netral
"donlot ini cuma mau denger trio kurnia, tapi iklannya banyak bgt tiap mau muter audio ada iklan kalah sama spotify podcast",netral,netral,netral
"sampah, sinya full tapi ga bisa play bagusan spotify kemana mana",netral,negatif,netral
Aplikasi ya bagus tapi kalo donload episodenya ko lama banget tolong di perbaiki,netral,netral,negatif
"Makin kesini noice makin kapitalis dikit-dikit pakai duit, sudah berlangganan tetap aja ada konten pakai duit padahal bukan musuh masyarakat",netral,netral,netral
"Aplikasi nya sering lag, dan saat menyalakan radio sering tidak berjalan",netral,negatif,negatif
gabisa play. wifi full tetep gamau nyambung muter doang,netral,negatif,negatif
"selagi musmas terus jalan, w kasih bintang 5",netral,netral,netral
"Aku mau podcasternya yang bersuara seksi seperti semua pengisi suara ""batman bangkit"" Di spoti**** tolong",netral,netral,netral
"Ini kenapa aplikasi nya yang udah didengarkan, dihari lain jadi ga bisa didengarkan lagi. Kalian bilang free kapanpun, kenapa malah ga bisa.",netral,negatif,netral
"Kocak juga ini aplikasi.. Sudah subscribe bayar bulanan buat VIP, malah skrg ada beberapa konten VIP yg mesti diunlock lagi selain MUSMAS. Contoh hiduplah indonesia maya mulai sering VIP, butuh koin lagi. padahal kita udah subscribe VIP. Koplak deh. Udah dibayarin minta lebih terus. Bulan berikut males deh unlock VIP konten. Ga denger juga gapapa.",netral,netral,netral
"ini kenapa ya, kok saya mau top up tapi ngga bisa terus pas pembayarannya? padahal kemarin"" lancar aja",netral,netral,negatif
"Bagus apk nya, jika ada masalah pada apk nya mimin merespon dengan baik dan gercep👍",netral,netral,netral
Mohon perbaiki konten pada aplikasi bima+ dan myIM3 karena menampilkan konten yang sudah usang,netral,netral,netral
bisa buat denger radio se Indonesia dan podcast anak bangsa,netral,positif,netral
Hot.93.2 fm dan hot.105 fm nirwana cintaku di prancis ajaib SIPIT dibuat mark ing women and ladies and jentelmen love me kiss yu love i am raden.m.sakaweuning,netral,netral,netral
