,user_review,rating,review_date,pengalaman visual,fungsi,performa dan stabilitas
0,Crash terus. Ngga bisa didengerin sambil buka aplikasi lain. Ngga se-smooth Spotify. Jadi harus buka ulang aplikasinya.,3,2024-03-31 23:42:35,netral,negatif,negatif
3,Kok loading nya lama yaa sampe Berjam jam di tunggu nga bisa padahal jaringannya bagus.,2,2024-03-31 22:01:51,netral,netral,negatif
4,"Sering tiba2 mati sendiri, diputar lagi ngulang lagi dari awal",1,2024-03-30 15:49:45,netral,negatif,negatif
8,"playing downloadnya ngebug mulu, play di playlistnya kadang ga work atau ga sesuai urutan",3,2024-03-29 6:33:33,netral,negatif,negatif
9,Eror audio podcast ga bisa di putar di device Samsung di realme bisa,1,2024-03-29 4:04:25,netral,negatif,negatif
11,Apliaksi keren bisa dengerin radio tanpa hendset pokonya the best noice,5,2024-03-26 15:55:41,netral,positif,netral
13,bagus banget apalagi dengerin horor sambil perjalanan pulang,5,2024-03-26 8:34:03,netral,netral,netral
15,"Akhirnya menemukan cs noice yang sigap dan membantu saya dalam menjawab pertanyaan, good job noice",5,2024-03-24 17:11:29,netral,netral,netral
16,gabisa diputar mau pake wifi atau data sekalipun ini podcast kenapa ya?,1,2024-03-23 16:07:05,netral,negatif,netral
17,Ehh sumpah deh Ni apk bagus banget buat dengerin podcast horor gitu,5,2024-03-23 5:44:43,netral,netral,netral
18,noice kepada aku liat podcast tiba-tiba ganti ke podcast yang lain,1,2024-03-22 22:19:35,netral,netral,netral
19,Kok aplikasi ini gk bisa live ya kok tulisan ada yang salah maksudnya gimana ya?,1,2024-03-21 15:17:52,netral,netral,netral
20,"Gua udah lumayan lama denger podcast di aplikasi ini aplikasinya bagus lah, cuman kadang-kadang suka ada bug atau apa kadang podcast yang udah di download suka hilang semua padahal udah download banyak,tolong dong di perbaiki soalnya suka bikin kesel ngedownload podcast biar pas gaada kuota bisa dengerin eh gak bisa di play jadi tolong di perbaiki",5,2024-03-21 11:29:00,netral,netral,negatif
