index,label
0,"['netral', 'netral', 'negatif']"
1,"['netral', 'netral', 'netral']"
2,"['netral', 'netral', 'netral']"
3,"['netral', 'negatif', 'netral']"
4,"['netral', 'netral', 'netral']"
5,"['netral', 'negatif', 'negatif']"
6,"['netral', 'negatif', 'negatif']"
7,"['netral', 'netral', 'netral']"
8,"['netral', 'negatif', 'netral']"
9,"['netral', 'netral', 'netral']"
10,"['netral', 'netral', 'netral']"
11,"['netral', 'netral', 'netral']"
12,"['netral', 'netral', 'netral']"
13,"['netral', 'netral', 'netral']"
14,"['netral', 'netral', 'netral']"
15,"['netral', 'netral', 'netral']"
16,"['netral', 'netral', 'netral']"
17,"['netral', 'netral', 'netral']"
18,"['netral', 'negatif', 'netral']"
19,"['netral', 'netral', 'netral']"
20,"['netral', 'netral', 'netral']"
21,"['netral', 'netral', 'netral']"
22,"['netral', 'negatif', 'negatif']"
23,"['netral', 'netral', 'netral']"
24,"['netral', 'netral', 'netral']"
25,"['netral', 'netral', 'negatif']"
26,"['netral', 'negatif', 'netral']"
27,"['netral', 'netral', 'netral']"
28,"['netral', 'netral', 'netral']"
29,"['netral', 'netral', 'netral']"
30,"['netral', 'netral', 'netral']"
31,"['netral', 'netral', 'netral']"
32,"['netral', 'netral', 'negatif']"
33,"['netral', 'netral', 'netral']"
34,"['netral', 'netral', 'netral']"
35,"['netral', 'negatif', 'netral']"
36,"['netral', 'netral', 'netral']"
37,"['netral', 'netral', 'netral']"
38,"['netral', 'netral', 'netral']"
39,"['netral', 'netral', 'netral']"
40,"['netral', 'netral', 'netral']"
41,"['netral', 'netral', 'netral']"
42,"['netral', 'netral', 'netral']"
43,"['netral', 'netral', 'netral']"
44,"['netral', 'netral', 'netral']"
45,"['netral', 'netral', 'netral']"
46,"['netral', 'netral', 'netral']"
47,"['netral', 'netral', 'netral']"
48,"['netral', 'netral', 'netral']"
49,"['netral', 'netral', 'negatif']"
50,"['netral', 'netral', 'netral']"
51,"['netral', 'netral', 'negatif']"
52,"['netral', 'netral', 'netral']"
53,"['netral', 'negatif', 'netral']"
54,"['netral', 'netral', 'netral']"
55,"['netral', 'netral', 'netral']"
56,"['netral', 'negatif', 'netral']"
57,"['netral', 'negatif', 'netral']"
58,"['netral', 'netral', 'netral']"
59,"['netral', 'negatif', 'negatif']"
60,"['netral', 'netral', 'netral']"
61,"['netral', 'netral', 'negatif']"
62,"['netral', 'netral', 'netral']"
63,"['netral', 'netral', 'netral']"
64,"['netral', 'netral', 'netral']"
65,"['netral', 'netral', 'netral']"
66,"['netral', 'netral', 'netral']"
67,"['netral', 'negatif', 'netral']"
68,"['netral', 'netral', 'netral']"
69,"['netral', 'netral', 'netral']"
70,"['netral', 'netral', 'netral']"
71,"['netral', 'netral', 'netral']"
72,"['netral', 'netral', 'netral']"
73,"['netral', 'netral', 'netral']"
74,"['netral', 'netral', 'netral']"
75,"['netral', 'netral', 'netral']"
76,"['netral', 'netral', 'netral']"
77,"['netral', 'netral', 'netral']"
78,"['netral', 'netral', 'netral']"
79,"['netral', 'negatif', 'negatif']"
80,"['netral', 'netral', 'netral']"
81,"['netral', 'netral', 'netral']"
82,"['netral', 'negatif', 'netral']"
83,"['netral', 'netral', 'negatif']"
84,"['netral', 'netral', 'netral']"
85,"['netral', 'negatif', 'netral']"
86,"['netral', 'netral', 'netral']"
87,"['netral', 'netral', 'netral']"
88,"['netral', 'netral', 'netral']"
89,"['netral', 'netral', 'netral']"
90,"['netral', 'netral', 'netral']"
91,"['netral', 'netral', 'netral']"
92,"['netral', 'netral', 'netral']"
93,"['netral', 'netral', 'netral']"
94,"['netral', 'netral', 'netral']"
95,"['netral', 'netral', 'netral']"
96,"['netral', 'netral', 'netral']"
97,"['netral', 'netral', 'netral']"
98,"['netral', 'netral', 'netral']"
99,"['netral', 'netral', 'netral']"
100,"['netral', 'netral', 'netral']"
101,"['netral', 'netral', 'netral']"
102,"['netral', 'netral', 'netral']"
103,"['netral', 'netral', 'netral']"
104,"['netral', 'netral', 'netral']"
105,"['netral', 'netral', 'netral']"
106,"['netral', 'netral', 'netral']"
107,"['netral', 'negatif', 'negatif']"
108,"['netral', 'netral', 'netral']"
109,"['netral', 'netral', 'negatif']"
110,"['netral', 'netral', 'netral']"
111,"['netral', 'netral', 'netral']"
112,"['netral', 'netral', 'netral']"
113,"['netral', 'netral', 'netral']"
114,"['netral', 'netral', 'netral']"
115,"['netral', 'netral', 'netral']"
