,clean_review,pengalaman visual,fungsi,performa dan stabilitas
0,crash tidak didengerin buka aplikasi tidak smooth spotify buka ulang aplikasinya,netral,negatif,negatif
1,memuat nya ya sampai berjam jam tunggu tidak jaringannya bagus,netral,netral,negatif
2,tiba-tiba mati diputar mengulang,netral,negatif,negatif
3,playing downloadnya ngebug terus putar playlistnya kadang tidak kerja tidak sesuai urutan,netral,negatif,negatif
4,eror audio podcast tidak putar device samsung realme,netral,negatif,negatif
5,apliaksi keren dengarkan radio hendset pokoknya the terbaik noice,netral,positif,netral
6,bagus sekali dengarkan horor perjalanan pulang,netral,netral,netral
7,menemukan layanan pelanggan noice sigap membantu bagus pekerjaan noice,netral,netral,netral
8,tidak bisa diputar pakai wifi data podcast ya,netral,negatif,netral
9,eh sumpah deh ini aplikasi bagus sekali dengarkan podcast horor begitu,netral,netral,netral
10,noice lihat podcast ganti podcast,netral,netral,netral
11,aplikasi tidak langsung ya tulisan salah maksudnya bagaimana ya,netral,netral,netral
12,aku sudah lumayan dengar podcast aplikasi aplikasinya bagus hanya kadang kadang suka eror kadang podcast sudah unduh suka hilang sudah unduh tolong perbaiki suka bikin kesel ngedownload podcast supaya saat tidak ada kuota dengarkan eh tidak putar tolong perbaiki,netral,netral,negatif
13,jadi jauh jadi bagus tetapi tolong yang playlist abang stand naik comedy panjangin kontraknya seperti pandeka podcast kena mental yang politik deh tidak seru,netral,netral,netral
14,sudah tidak seru kalau seru,netral,netral,netral
15,senang dengan dakwah islamyah,netral,netral,netral
16,kecewa hiduplah indonesia maya beli langganan noice premium,netral,netral,netral
17,unduh dengar trio kurnia iklannya sekali berputar audio iklan kalah spotify podcast,netral,netral,netral
18,sampah sinya penuh tidak putar bagusan spotify ke mana,netral,negatif,netral
19,aplikasi ya bagus kalau donload episodenya kok sekali tolong perbaiki,netral,netral,negatif
20,ke sini noice kapitalis sedikit sedikit pakai uang berlangganan saja konten pakai uang musuh masyarakat,netral,netral,netral
21,aplikasi nya lag menyalakan radio tidak berjalan,netral,negatif,negatif
22,tidak bisa putar wifi penuh tetap tidak ingin menyambung berputar saja,netral,negatif,negatif
23,selagi musmas jalan aku kasih bintang 5,netral,netral,netral
24,podcasternya bersuara seksi pengisi suara batman bangkit spoti tolong,netral,netral,netral
25,aplikasi nya sudah didengarkan dihari tidak didengarkan berkata gratis tidak,netral,negatif,netral
