,user_review,pengalaman visual,fungsi,performa dan stabilitas,case_fold,remove_punctuation,remove_whitespace,stopword_removal,normalize
0,Crash terus. Ngga bisa didengerin sambil buka aplikasi lain. Ngga se-smooth Spotify. Jadi harus buka ulang aplikasinya.,netral,negatif,negatif,crash terus. ngga bisa didengerin sambil buka aplikasi lain. ngga se-smooth spotify. jadi harus buka ulang aplikasinya.,crash terus  ngga bisa didengerin sambil buka aplikasi lain  ngga se smooth spotify  jadi harus buka ulang aplikasinya ,crash terus  ngga bisa didengerin sambil buka aplikasi lain  ngga se smooth spotify  jadi harus buka ulang aplikasinya,crash ngga didengerin buka aplikasi ngga smooth spotify buka ulang aplikasinya,crash tidak didengerin buka aplikasi tidak smooth spotify buka ulang aplikasinya
1,Kok loading nya lama yaa sampe Berjam jam di tunggu nga bisa padahal jaringannya bagus.,netral,netral,negatif,kok loading nya lama yaa sampe berjam jam di tunggu nga bisa padahal jaringannya bagus.,kok loading nya lama yaa sampe berjam jam di tunggu nga bisa padahal jaringannya bagus ,kok loading nya lama yaa sampe berjam jam di tunggu nga bisa padahal jaringannya bagus,loading nya yaa sampe berjam jam tunggu nga jaringannya bagus,memuat nya ya sampai berjam jam tunggu tidak jaringannya bagus
2,"Sering tiba2 mati sendiri, diputar lagi ngulang lagi dari awal",netral,negatif,negatif,"sering tiba2 mati sendiri, diputar lagi ngulang lagi dari awal",sering tiba2 mati sendiri  diputar lagi ngulang lagi dari awal,sering tiba2 mati sendiri  diputar lagi ngulang lagi dari awal,tiba2 mati diputar ngulang,tiba-tiba mati diputar mengulang
3,"playing downloadnya ngebug mulu, play di playlistnya kadang ga work atau ga sesuai urutan",netral,negatif,negatif,"playing downloadnya ngebug mulu, play di playlistnya kadang ga work atau ga sesuai urutan",playing downloadnya ngebug mulu  play di playlistnya kadang ga work atau ga sesuai urutan,playing downloadnya ngebug mulu  play di playlistnya kadang ga work atau ga sesuai urutan,playing downloadnya ngebug mulu play playlistnya kadang ga work ga sesuai urutan,playing downloadnya ngebug terus putar playlistnya kadang tidak kerja tidak sesuai urutan
4,Eror audio podcast ga bisa di putar di device Samsung di realme bisa,netral,negatif,negatif,eror audio podcast ga bisa di putar di device samsung di realme bisa,eror audio podcast ga bisa di putar di device samsung di realme bisa,eror audio podcast ga bisa di putar di device samsung di realme bisa,eror audio podcast ga putar device samsung realme,eror audio podcast tidak putar device samsung realme
5,Apliaksi keren bisa dengerin radio tanpa hendset pokonya the best noice,netral,positif,netral,apliaksi keren bisa dengerin radio tanpa hendset pokonya the best noice,apliaksi keren bisa dengerin radio tanpa hendset pokonya the best noice,apliaksi keren bisa dengerin radio tanpa hendset pokonya the best noice,apliaksi keren dengerin radio hendset pokonya the best noice,apliaksi keren dengarkan radio hendset pokoknya the terbaik noice
6,bagus banget apalagi dengerin horor sambil perjalanan pulang,netral,netral,netral,bagus banget apalagi dengerin horor sambil perjalanan pulang,bagus banget apalagi dengerin horor sambil perjalanan pulang,bagus banget apalagi dengerin horor sambil perjalanan pulang,bagus banget dengerin horor perjalanan pulang,bagus sekali dengarkan horor perjalanan pulang
7,"Akhirnya menemukan cs noice yang sigap dan membantu saya dalam menjawab pertanyaan, good job noice",netral,netral,netral,"akhirnya menemukan cs noice yang sigap dan membantu saya dalam menjawab pertanyaan, good job noice",akhirnya menemukan cs noice yang sigap dan membantu saya dalam menjawab pertanyaan  good job noice,akhirnya menemukan cs noice yang sigap dan membantu saya dalam menjawab pertanyaan  good job noice,menemukan cs noice sigap membantu good job noice,menemukan layanan pelanggan noice sigap membantu bagus pekerjaan noice
8,gabisa diputar mau pake wifi atau data sekalipun ini podcast kenapa ya?,netral,negatif,netral,gabisa diputar mau pake wifi atau data sekalipun ini podcast kenapa ya?,gabisa diputar mau pake wifi atau data sekalipun ini podcast kenapa ya ,gabisa diputar mau pake wifi atau data sekalipun ini podcast kenapa ya,gabisa diputar pake wifi data podcast ya,tidak bisa diputar pakai wifi data podcast ya
9,Ehh sumpah deh Ni apk bagus banget buat dengerin podcast horor gitu,netral,netral,netral,ehh sumpah deh ni apk bagus banget buat dengerin podcast horor gitu,ehh sumpah deh ni apk bagus banget buat dengerin podcast horor gitu,ehh sumpah deh ni apk bagus banget buat dengerin podcast horor gitu,ehh sumpah deh ni apk bagus banget dengerin podcast horor gitu,eh sumpah deh ini aplikasi bagus sekali dengarkan podcast horor begitu
10,noice kepada aku liat podcast tiba-tiba ganti ke podcast yang lain,netral,netral,netral,noice kepada aku liat podcast tiba-tiba ganti ke podcast yang lain,noice kepada aku liat podcast tiba tiba ganti ke podcast yang lain,noice kepada aku liat podcast tiba tiba ganti ke podcast yang lain,noice liat podcast ganti podcast,noice lihat podcast ganti podcast
11,Kok aplikasi ini gk bisa live ya kok tulisan ada yang salah maksudnya gimana ya?,netral,netral,netral,kok aplikasi ini gk bisa live ya kok tulisan ada yang salah maksudnya gimana ya?,kok aplikasi ini gk bisa live ya kok tulisan ada yang salah maksudnya gimana ya ,kok aplikasi ini gk bisa live ya kok tulisan ada yang salah maksudnya gimana ya,aplikasi gk live ya tulisan salah maksudnya gimana ya,aplikasi tidak langsung ya tulisan salah maksudnya bagaimana ya
12,"Gua udah lumayan lama denger podcast di aplikasi ini aplikasinya bagus lah, cuman kadang-kadang suka ada bug atau apa kadang podcast yang udah di download suka hilang semua padahal udah download banyak,tolong dong di perbaiki soalnya suka bikin kesel ngedownload podcast biar pas gaada kuota bisa dengerin eh gak bisa di play jadi tolong di perbaiki",netral,netral,negatif,"gua udah lumayan lama denger podcast di aplikasi ini aplikasinya bagus lah, cuman kadang-kadang suka ada bug atau apa kadang podcast yang udah di download suka hilang semua padahal udah download banyak,tolong dong di perbaiki soalnya suka bikin kesel ngedownload podcast biar pas gaada kuota bisa dengerin eh gak bisa di play jadi tolong di perbaiki",gua udah lumayan lama denger podcast di aplikasi ini aplikasinya bagus lah  cuman kadang kadang suka ada bug atau apa kadang podcast yang udah di download suka hilang semua padahal udah download banyak tolong dong di perbaiki soalnya suka bikin kesel ngedownload podcast biar pas gaada kuota bisa dengerin eh gak bisa di play jadi tolong di perbaiki,gua udah lumayan lama denger podcast di aplikasi ini aplikasinya bagus lah  cuman kadang kadang suka ada bug atau apa kadang podcast yang udah di download suka hilang semua padahal udah download banyak tolong dong di perbaiki soalnya suka bikin kesel ngedownload podcast biar pas gaada kuota bisa dengerin eh gak bisa di play jadi tolong di perbaiki,gua udah lumayan denger podcast aplikasi aplikasinya bagus cuman kadang kadang suka bug kadang podcast udah download suka hilang udah download tolong perbaiki suka bikin kesel ngedownload podcast biar pas gaada kuota dengerin eh gak play tolong perbaiki,aku sudah lumayan dengar podcast aplikasi aplikasinya bagus hanya kadang kadang suka eror kadang podcast sudah unduh suka hilang sudah unduh tolong perbaiki suka bikin kesel ngedownload podcast supaya saat tidak ada kuota dengarkan eh tidak putar tolong perbaiki
13,"so far so good,tpi tolong dong yg playlist dari Abang"" stand up comedy panjangin kontraknya kayak pandeka, podcast kena mental terus yg lain"" soalnya sekarang pada politik semua dah ga seru!!!",netral,netral,netral,"so far so good,tpi tolong dong yg playlist dari abang"" stand up comedy panjangin kontraknya kayak pandeka, podcast kena mental terus yg lain"" soalnya sekarang pada politik semua dah ga seru!!!",so far so good tpi tolong dong yg playlist dari abang  stand up comedy panjangin kontraknya kayak pandeka  podcast kena mental terus yg lain  soalnya sekarang pada politik semua dah ga seru   ,so far so good tpi tolong dong yg playlist dari abang  stand up comedy panjangin kontraknya kayak pandeka  podcast kena mental terus yg lain  soalnya sekarang pada politik semua dah ga seru,so far so good tpi tolong yg playlist abang stand up comedy panjangin kontraknya kayak pandeka podcast kena mental yg politik dah ga seru,jadi jauh jadi bagus tetapi tolong yang playlist abang stand naik comedy panjangin kontraknya seperti pandeka podcast kena mental yang politik deh tidak seru
14,"Sdh ngk seru lagi, klu dulu masih seru",netral,netral,netral,"sdh ngk seru lagi, klu dulu masih seru",sdh ngk seru lagi  klu dulu masih seru,sdh ngk seru lagi  klu dulu masih seru,sdh ngk seru klu seru,sudah tidak seru kalau seru
15,baik senang dgn dakwah islamyah,netral,netral,netral,baik senang dgn dakwah islamyah,baik senang dgn dakwah islamyah,baik senang dgn dakwah islamyah,senang dgn dakwah islamyah,senang dengan dakwah islamyah
16,Kecewa Hiduplah Indonesia Maya harus beli lagi walau sudah langganan noice premium,netral,netral,netral,kecewa hiduplah indonesia maya harus beli lagi walau sudah langganan noice premium,kecewa hiduplah indonesia maya harus beli lagi walau sudah langganan noice premium,kecewa hiduplah indonesia maya harus beli lagi walau sudah langganan noice premium,kecewa hiduplah indonesia maya beli langganan noice premium,kecewa hiduplah indonesia maya beli langganan noice premium
17,"donlot ini cuma mau denger trio kurnia, tapi iklannya banyak bgt tiap mau muter audio ada iklan kalah sama spotify podcast",netral,netral,netral,"donlot ini cuma mau denger trio kurnia, tapi iklannya banyak bgt tiap mau muter audio ada iklan kalah sama spotify podcast",donlot ini cuma mau denger trio kurnia  tapi iklannya banyak bgt tiap mau muter audio ada iklan kalah sama spotify podcast,donlot ini cuma mau denger trio kurnia  tapi iklannya banyak bgt tiap mau muter audio ada iklan kalah sama spotify podcast,donlot denger trio kurnia iklannya bgt muter audio iklan kalah spotify podcast,unduh dengar trio kurnia iklannya sekali berputar audio iklan kalah spotify podcast
18,"sampah, sinya full tapi ga bisa play bagusan spotify kemana mana",netral,negatif,netral,"sampah, sinya full tapi ga bisa play bagusan spotify kemana mana",sampah  sinya full tapi ga bisa play bagusan spotify kemana mana,sampah  sinya full tapi ga bisa play bagusan spotify kemana mana,sampah sinya full ga play bagusan spotify kemana,sampah sinya penuh tidak putar bagusan spotify ke mana
